Series Description,Crude oil  (NAICS = 211111pt.); s.a. IP,Natural gas  (NAICS = 211111pt.); s.a. IP,Coal mining  (NAICS = 2121); s.a. IP,Hydroelectric power generation  (NAICS = 221111); s.a. IP,"Fossil fuel and other electric power generation  (NAICS = 221112,9); s.a. IP",Nuclear electric power generation  (NAICS = 221113); s.a. IP
Unit:,Index:_2007_100,Index:_2007_100,Index:_2007_100,Index:_2007_100,Index:_2007_100,Index:_2007_100
Multiplier:,1,1,1,1,1,1
Currency:,NA,NA,NA,NA,NA,NA
Unique Identifier: ,G17/IP_MINING_AND_UTILITY_DETAIL/IP.G211111C.S,G17/IP_MINING_AND_UTILITY_DETAIL/IP.N211111G.S,G17/IP_MINING_AND_UTILITY_DETAIL/IP.N2121.S,G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221111.S,G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221112A9.S,G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221113.S
Time Period,IP.G211111C.S,IP.N211111G.S,IP.N2121.S,IP.N221111.S,IP.N221112A9.S,IP.N221113.S
1972-01,183.4973,114.1974,64.7349,114.404,45.7096,5.709
1972-02,184.5496,113.0925,61.4183,111.3332,47.683,5.2914
1972-03,188.3256,111.975,62.6846,113.9251,47.8551,5.8208
1972-04,189.5351,114.3213,63.2432,115.1082,47.7855,5.9464
1972-05,191.21,110.5997,60.2291,116.293,47.383,5.3048
1972-06,190.3529,110.4044,60.6305,116.01,46.7211,6.1523
1972-07,189.593,109.7937,58.5252,121.1114,45.8252,6.6309
1972-08,190.1094,110.4223,60.1616,125.233,46.9171,7.3281
1972-09,190.9477,111.9743,59.3468,121.5395,48.9493,6.9069
1972-10,188.507,112.1317,60.474,120.6518,48.3371,7.0927
1972-11,187.8808,112.9435,61.8099,124.7725,48.9951,7.9348
1972-12,186.8574,112.7228,60.3028,125.6167,49.4303,8.2837
1973-01,185.3053,111.6194,60.6202,122.0164,50.1783,8.4979
1973-02,186.0981,114.0925,59.9533,120.2067,50.5126,9.1085
1973-03,184.7335,110.2019,59.2026,120.4191,49.4574,9.2637
1973-04,185.3465,109.605,58.1128,118.8548,49.7283,9.7729
1973-05,184.4145,112.2457,58.2864,118.932,50.0012,10.3957
1973-06,184.1583,112.9261,57.0897,118.7774,51.3722,11.0145
1973-07,184.1249,111.9921,61.4121,114.8894,51.0757,10.0093
1973-08,183.9004,112.5288,63.739,116.5499,51.8865,10.0702
1973-09,182.1526,111.4377,59.7573,108.4958,52.4651,11.5421
1973-10,183.4266,111.4546,60.0884,116.2342,51.8447,11.5606
1973-11,182.7091,111.4355,59.8697,116.1865,50.2232,12.2536
1973-12,181.468,110.6151,64.452,132.7887,47.4966,10.9992
1974-01,180.5546,110.3685,66.8936,137.0103,46.9285,10.3357
1974-02,181.1619,108.6921,64.9365,139.0097,47.4134,12.4405
1974-03,178.6864,109.4112,61.7105,129.2513,48.5768,12.3854
1974-04,178.93,107.6324,64.0578,137.8313,48.7731,11.8173
